SUBCOUNTY,YEAR,EVI,LST,NDVI,latitude,longitude,Quantity,Temperature,Rainfall,EVI_NDVI_ratio,Vegetation_index,LST_celsius,Temp_stress,Heat_index,Rainfall_per_temp,Water_stress,Years_since_start,Is_drought_year,Is_good_rain_year,Lat_long_interaction,SUBCOUNTY_encoded,Prev_year_quantity,Prev_year_EVI,Prev_year_rainfall,EVI_3yr_avg,Rainfall_3yr_avg,Yield_per_EVI,Yield_per_rainfall
Cherangany,2013,0.407732995,299.3061696,0.660395212,1.026172733,35.19162412,107802,19.475,1474.7,0.6174066228593086,0.5340641035,26.1561696,0.07535286363636473,509.39140296,75.72271754953952,13.206075803074473,0,0,0,36.11268510192912,0,75986.5,0.3325061925,1394.85,0.407732995,1474.7,264392.96532044135,73.10096963918018
Cherangany,2014,0.35386647,299.6124049,0.591656105,1.026172733,35.19162412,110783,18.816,1280.9,0.5980938401812989,0.4727612875,26.462404900000024,0.7343528636363672,497.91661059840044,68.07503889907319,14.689671313381469,1,0,0,36.11268510192912,0,107802.0,0.407732995,1474.7,0.3807997325,1377.8000000000002,313063.53194883955,86.48840652159542
Cherangany,2015,0.344226599,300.2381254,0.575692549,1.026172733,35.19162412,94669,19.6416667,1395.7,0.5979337437390669,0.459959574,27.088125400000024,0.0913138363636321,532.0559306346046,71.05812099651803,14.072986090081686,2,0,0,36.11268510192912,0,110783.0,0.35386647,1280.9,0.36860868799999996,1383.7666666666667,275018.6221994361,67.82904630806831
Cherangany,2016,0.36959616,300.3574772,0.613511171,1.026172733,35.19162412,111578,18.8466814,1254.7,0.6024267772839343,0.4915536655,27.207477200000028,0.7036714636363648,512.7706544861646,66.57405125052672,15.020866649381631,3,0,0,36.11268510192912,0,94669.0,0.344226599,1395.7,0.35589640966666664,1310.4333333333334,301890.8478625756,88.92803053404954
Cherangany,2017,0.336154181,301.1497085,0.558912298,1.026172733,35.19162412,78891,19.561,1394.0,0.6014424459086676,0.4475332395,27.999708499999997,0.010647136363633791,547.7022979684999,71.26424665077211,14.032281195098793,4,0,0,36.11268510192912,0,111578.0,0.36959616,1254.7,0.34999231333333336,1348.1333333333332,234686.2534300788,56.59325677432334
Cherangany,2018,0.344788329,299.7610972,0.569879744,1.026172733,35.19162412,115706,19.45,1626.0,0.6050183878471247,0.4573340365,26.611097200000017,0.10035286363636686,517.5858405400003,83.5989674242176,11.961869611339562,5,0,1,36.11268510192912,0,78891.0,0.336154181,1394.0,0.3501795566666667,1424.8999999999999,335584.63173899445,71.1599015552522
Cherangany,2019,0.310434675,299.7466482,0.498473373,1.026172733,35.19162412,115706,20.325,1470.0,0.6227695781664587,0.40445402399999997,26.596648200000004,0.7746471363636331,540.5768746650001,72.32471968882068,13.826530602839092,6,0,0,36.11268510192912,0,115706.0,0.344788329,1626.0,0.33045906166666666,1496.6666666666667,372721.33752024476,78.71156457230505
Cherangany,2020,0.388334719,300.0296273,0.646260507,1.026172733,35.19162412,135878,19.4791667,2157.2,0.6008940882193065,0.517297613,26.87962730000004,0.07118616363636576,523.5927410105717,110.74395134449198,9.029838072951124,7,0,1,36.11268510192912,0,115706.0,0.310434675,1470.0,0.3478525743333334,1751.0666666666666,349898.2796377791,62.98813273549596
Cherangany,2021,0.347997494,298.6275453,0.574452558,1.026172733,35.19162412,110070,19.7291667,1030.3,0.6057887346221295,0.461225026,25.47754530000003,0.17881383636363424,502.6507383305021,52.222172555206164,19.148953393041875,8,1,0,36.11268510192912,0,135878.0,0.388334719,2157.2,0.348922296,1552.5,316294.4722398713,106.83296116972438
Cherangany,2022,0.317769802,296.0718512,0.487334421,1.026172733,35.19162412,95925,19.6625,1102.1,0.6520556239231378,0.40255211150000003,22.92185120000005,0.11214713636363527,450.70089922000096,56.050855382028956,17.840940007403194,9,1,0,36.11268510192912,0,110070.0,0.347997494,1030.3,0.35136733833333333,1429.8666666666666,301868.51465352695,87.03838119314183
